Epoch,AvgPSNR
1,"(13.15510551858723,)"
2,"(13.319582399151283,)"
3,"(13.284395523084253,)"
4,"(13.498594403835153,)"
5,"(13.64432977425153,)"
6,"(13.875825679377582,)"
7,"(14.208260425078043,)"
8,"(14.668709567250318,)"
9,"(15.174160328898846,)"
10,"(15.80941243114538,)"
11,"(15.348809447879063,)"
12,"(17.82240433890588,)"
13,"(19.59796905434515,)"
14,"(20.568439917278,)"
15,"(20.859104469887136,)"
16,"(21.603488887667137,)"
17,"(22.3508476597465,)"
18,"(22.91702146718651,)"
19,"(23.030967127709744,)"
20,"(23.956672061664257,)"
21,"(22.848019359365072,)"
22,"(23.667474737891652,)"
23,"(23.2119509451237,)"
24,"(23.0730557405758,)"
25,"(23.500031089949267,)"
26,"(23.440064868148866,)"
27,"(23.89922989067927,)"
28,"(23.234001020047995,)"
29,"(23.20562409632387,)"
30,"(22.98913738176505,)"
31,"(23.302250351984807,)"
32,"(22.573318932793434,)"
33,"(22.777064207308282,)"
34,"(24.144605620010466,)"
35,"(12.08923726367645,)"
36,"(12.466037546819935,)"
37,"(13.033219790708854,)"
38,"(13.020885582799453,)"
39,"(13.198171150386996,)"
40,"(13.29905025357966,)"
41,"(13.311634750663154,)"
42,"(13.38425605730571,)"
43,"(13.447812838664968,)"
44,"(13.452473449925554,)"
45,"(13.460964457325982,)"
46,"(13.518150283818311,)"
47,"(13.405685954849124,)"
48,"(13.543498314275872,)"
49,"(13.629366752028387,)"
50,"(13.716869310141947,)"
51,"(13.74215565747376,)"
52,"(13.821201655370107,)"
53,"(13.961926321180211,)"
54,"(14.0615977570896,)"
55,"(14.261187051235165,)"
56,"(14.176259691995071,)"
57,"(14.441116025259468,)"
58,"(14.638489912178287,)"
59,"(15.23163552835354,)"
60,"(14.966762816226874,)"
61,"(16.01012871767203,)"
62,"(15.760053271060533,)"
63,"(16.98771295656858,)"
64,"(17.39641103286282,)"
65,"(17.597158891914766,)"
66,"(18.283382583500003,)"
67,"(19.0767332534907,)"
68,"(19.66974358924567,)"
69,"(19.871691460171103,)"
70,"(19.944322968372983,)"
71,"(20.347047992488932,)"
72,"(20.895630571195408,)"
73,"(21.056833834066488,)"
74,"(20.73361493151299,)"
75,"(21.01277178784711,)"
76,"(20.895130223290796,)"
77,"(21.644617940702148,)"
78,"(21.422406147255657,)"
79,"(21.845156895916652,)"
80,"(21.849846610072667,)"
81,"(21.120446064430517,)"
82,"(22.614084040619193,)"
83,"(22.89537773596732,)"
84,"(21.880517363735905,)"
85,"(21.819478772891408,)"
86,"(21.725525648644304,)"
87,"(21.570437389200013,)"
88,"(21.790683193277456,)"
89,"(12.869623606159841,)"
90,"(13.29320962344938,)"
91,"(13.402278087539058,)"
92,"(13.48293927640751,)"
93,"(13.525323496729582,)"
94,"(13.409071019491803,)"
95,"(13.671220841874739,)"
96,"(13.88617790822382,)"
97,"(13.92578122950708,)"
98,"(14.391591397570709,)"
99,"(14.91890178431865,)"
100,"(15.371551344701983,)"
101,"(15.463637678991168,)"
102,"(15.680044094995624,)"
103,"(16.422047969102184,)"
104,"(17.607848582505486,)"
105,"(18.37636464307313,)"
106,"(19.202034200477666,)"
107,"(19.062885230844994,)"
108,"(20.19453518654873,)"
109,"(20.705383470010492,)"
110,"(20.34265132787091,)"
111,"(21.563549805015757,)"
112,"(21.28026209297632,)"
113,"(21.550737003243576,)"
114,"(21.368298740281414,)"
115,"(21.5283960482287,)"
116,"(21.990872215152976,)"
117,"(22.170422858649083,)"
118,"(21.942470835551283,)"
119,"(22.52789878341324,)"
120,"(22.238038728986968,)"
121,"(21.881266391364225,)"
122,"(22.401522951050406,)"
123,"(22.080536982733513,)"
124,"(22.59177314584764,)"
125,"(22.611175077433085,)"
