Epoch,AvgPSNR
1,"(12.390739269026387,)"
2,"(12.61777755625383,)"
3,"(13.663628056116252,)"
4,"(13.666178851935884,)"
5,"(13.746267893292192,)"
6,"(13.747178556317388,)"
7,"(13.819088660176712,)"
8,"(13.880644951725854,)"
9,"(13.928924657017243,)"
10,"(14.095244307521513,)"
11,"(12.74579342944267,)"
12,"(13.58431239188134,)"
13,"(13.698330568666913,)"
14,"(13.712476054292836,)"
15,"(13.81384473366017,)"
16,"(14.018086796337437,)"
17,"(14.124466371741487,)"
18,"(14.266131326047823,)"
19,"(14.257678425431283,)"
20,"(14.33289357614141,)"
21,"(14.546464270409746,)"
22,"(14.622422026398699,)"
23,"(14.647450119688314,)"
24,"(14.66628759435882,)"
25,"(14.663437692648781,)"
26,"(14.67872715994487,)"
27,"(14.687708971522094,)"
28,"(14.685913888384508,)"
29,"(14.691343547930174,)"
30,"(14.682850514315005,)"
31,"(14.694440746796088,)"
32,"(14.698227391524973,)"
33,"(14.697272108856248,)"
34,"(14.693463206965793,)"
35,"(14.693142242575693,)"
36,"(14.696619935329538,)"
37,"(14.694554589981395,)"
38,"(14.702557708951005,)"
39,"(14.695307682178854,)"
40,"(14.702180548767789,)"
41,"(14.694410974921267,)"
42,"(14.698146300248373,)"
43,"(14.699398878063414,)"
44,"(14.698382318532484,)"
45,"(14.704577118494653,)"
46,"(14.698560351240644,)"
47,"(14.698903200126678,)"
48,"(14.701807680245775,)"
49,"(14.700374562779881,)"
50,"(12.741758365120864,)"
51,"(13.46299192205522,)"
52,"(13.554931324076446,)"
53,"(13.596412913347027,)"
54,"(13.563775300777309,)"
55,"(13.753707319109616,)"
56,"(13.734460851272335,)"
57,"(13.732293091751295,)"
58,"(13.754767566244073,)"
59,"(13.811509426472222,)"
60,"(13.739896129044103,)"
61,"(13.857744640409134,)"
62,"(13.871161873805796,)"
63,"(13.97087201442737,)"
64,"(14.01302699570312,)"
65,"(14.075754214359154,)"
66,"(14.249321396513874,)"
67,"(14.255055147650223,)"
68,"(14.347170611394326,)"
69,"(14.440449567372402,)"
70,"(14.562309288383837,)"
71,"(14.577258903661663,)"
72,"(14.636115985873325,)"
73,"(14.661129396204512,)"
74,"(14.674582043553292,)"
75,"(14.687317211533205,)"
76,"(14.689205072361167,)"
77,"(14.673355835711892,)"
78,"(14.683522643973683,)"
79,"(14.691459031792515,)"
80,"(14.691561705397785,)"
81,"(14.699775971179415,)"
82,"(14.693288819443051,)"
83,"(14.700614003059634,)"
84,"(14.695904353919026,)"
85,"(14.699067355894702,)"
86,"(14.700761913732313,)"
87,"(14.698100804384016,)"
88,"(14.703824857176043,)"
89,"(14.704149692416271,)"
90,"(14.696665128842197,)"
91,"(14.697384570674945,)"
92,"(14.702914998878716,)"
93,"(14.705925943662274,)"
94,"(14.69739239956015,)"
95,"(14.698428123279689,)"
96,"(14.703349408141067,)"
97,"(14.704763833010464,)"
98,"(14.704330457141072,)"
99,"(14.706601412991407,)"
100,"(14.698348595571394,)"
101,"(10.275937622734787,)"
102,"(13.27539872988809,)"
103,"(13.645236842335814,)"
104,"(13.67340735272436,)"
105,"(13.644686617844963,)"
106,"(13.706904159264715,)"
107,"(13.711806413064561,)"
108,"(13.685185405583514,)"
109,"(13.770600897691324,)"
110,"(13.753161215646573,)"
111,"(13.769470250508451,)"
112,"(13.786970652216976,)"
113,"(13.836251940770008,)"
114,"(13.879161431536197,)"
115,"(13.857433768602288,)"
116,"(13.91278215716226,)"
117,"(14.022490569369511,)"
118,"(14.132240235049792,)"
119,"(14.152542091768067,)"
120,"(14.292850211625868,)"
121,"(14.37928282481596,)"
122,"(14.469860928664877,)"
123,"(14.525899191038397,)"
124,"(14.584699733733757,)"
125,"(14.599345449459271,)"
126,"(14.612352704685255,)"
127,"(14.637025111341295,)"
128,"(14.625697868727903,)"
129,"(14.648010775047773,)"
130,"(14.654019204617178,)"
131,"(14.659263159579883,)"
132,"(14.658970277691393,)"
133,"(14.660694471417596,)"
134,"(14.671097775743842,)"
135,"(14.653828627636768,)"
136,"(14.669624944603665,)"
137,"(14.673364899381697,)"
138,"(14.679372397438804,)"
139,"(14.675478060133122,)"
140,"(14.680934270771175,)"
141,"(14.683304322162943,)"
142,"(14.676385224307564,)"
143,"(14.680613053865871,)"
144,"(14.68383368532351,)"
145,"(14.684465183533657,)"
146,"(14.680146438331462,)"
147,"(14.676645826891622,)"
148,"(14.683123312449563,)"
149,"(14.682190319611687,)"
150,"(14.687319062631115,)"
