Epoch,AvgPSNR
1,"(12.95518092114848,)"
2,"(13.194385974038687,)"
3,"(13.419095178612418,)"
4,"(6.584488754317945,)"
5,"(13.326489700198131,)"
6,"(13.474483724537652,)"
7,"(13.527307341566802,)"
8,"(13.594114662418859,)"
9,"(13.698302919342686,)"
10,"(14.020527331882194,)"
11,"(14.351691145080132,)"
12,"(14.417716584706303,)"
13,"(15.104872838775549,)"
14,"(15.776351155903821,)"
15,"(16.258426748663833,)"
16,"(16.29607717178911,)"
17,"(17.09975538452257,)"
18,"(18.75581144833036,)"
19,"(19.878967677663994,)"
20,"(20.65963634581884,)"
21,"(21.32572432438169,)"
22,"(21.21578363683192,)"
23,"(22.263816559248525,)"
24,"(22.363444030431488,)"
25,"(22.401759346774178,)"
26,"(22.54660006166334,)"
27,"(22.369010143692222,)"
28,"(22.89688829047583,)"
29,"(23.528336148223715,)"
30,"(23.737136196518062,)"
31,"(23.756199913327592,)"
32,"(23.91089582067275,)"
33,"(23.33818732769622,)"
34,"(24.251557032412283,)"
35,"(23.0667759481897,)"
36,"(24.026095314247982,)"
37,"(23.914550266039612,)"
38,"(23.69865398226143,)"
39,"(23.363635311008657,)"
40,"(23.774321893410825,)"
41,"(23.22652606593699,)"
42,"(23.60581315361641,)"
43,"(23.04264659066747,)"
44,"(22.91842236605581,)"
45,"(22.16086622283974,)"
46,"(12.32153487213729,)"
47,"(12.932943366342181,)"
48,"(13.201822121446648,)"
49,"(13.309724917192305,)"
50,"(13.407137659999101,)"
51,"(13.46526809260326,)"
52,"(13.497102773740279,)"
53,"(13.491477077869568,)"
54,"(13.554272684405722,)"
55,"(13.552681250572997,)"
56,"(13.608814703601562,)"
57,"(13.64100419200565,)"
58,"(13.775823807799512,)"
59,"(13.824455029470858,)"
60,"(14.04679352514926,)"
61,"(14.139952263996383,)"
62,"(14.173859618345974,)"
63,"(14.581745971215927,)"
64,"(14.993633495262218,)"
65,"(14.92941361728624,)"
66,"(15.4523192970779,)"
67,"(15.708340364687006,)"
68,"(15.80285266988654,)"
69,"(16.535007943259238,)"
70,"(16.79580316662858,)"
71,"(17.625608256433942,)"
72,"(18.451378915188887,)"
73,"(18.441610828850195,)"
74,"(18.6089743562561,)"
75,"(17.495439052459353,)"
76,"(16.420000986614976,)"
77,"(18.40066578017368,)"
78,"(19.958540297502548,)"
79,"(20.749804877420214,)"
80,"(20.897707292825796,)"
81,"(21.80441515718267,)"
82,"(21.569983296503302,)"
83,"(21.536757250423076,)"
84,"(22.037054957364493,)"
85,"(22.19433904325817,)"
86,"(22.592136365137513,)"
87,"(22.23019997408114,)"
88,"(22.66738699049462,)"
89,"(21.53275149675919,)"
90,"(23.13515650275683,)"
91,"(22.513766504775347,)"
92,"(22.586472979040987,)"
93,"(22.637841397902818,)"
94,"(22.751569297880724,)"
95,"(22.805670141458865,)"
96,"(22.32293350730399,)"
97,"(23.59585444104726,)"
98,"(22.33355482786405,)"
99,"(22.978463817094024,)"
100,"(22.940737500283042,)"
101,"(23.2353887449206,)"
102,"(22.784257631048472,)"
103,"(23.1354295688506,)"
104,"(23.739921077099076,)"
105,"(23.838382269189523,)"
106,"(23.430456255552926,)"
107,"(23.132219141151747,)"
108,"(22.475767168324975,)"
109,"(23.18138916413635,)"
110,"(23.321738319360936,)"
111,"(23.47337089469924,)"
112,"(23.72476221869529,)"
113,"(23.274547892715006,)"
114,"(23.33441846704678,)"
115,"(23.02125004760748,)"
116,"(23.47492696288331,)"
117,"(24.408952501067123,)"
118,"(23.63019089562335,)"
119,"(24.049847640955942,)"
120,"(23.356440629466075,)"
121,"(23.707487348246797,)"
122,"(22.72693759649499,)"
123,"(22.729385249648008,)"
124,"(23.23475880457799,)"
125,"(22.602378319479513,)"
126,"(12.703766517638623,)"
127,"(13.319634870340384,)"
128,"(13.471779526191444,)"
129,"(13.52693323909199,)"
130,"(13.483176836003526,)"
131,"(13.612594598693375,)"
132,"(13.713256706929867,)"
133,"(14.007714830686213,)"
134,"(13.960471202894574,)"
135,"(14.757595396762987,)"
136,"(15.211658722699942,)"
137,"(16.096562907840717,)"
138,"(16.374850985828648,)"
139,"(17.070752162051114,)"
140,"(17.74659534128387,)"
141,"(18.658715886237694,)"
142,"(19.15919030559152,)"
143,"(19.668325140417405,)"
144,"(20.015976876318526,)"
145,"(19.88698970923424,)"
146,"(20.248750385745584,)"
147,"(20.36843565545002,)"
148,"(20.625360199140246,)"
149,"(21.02914310646834,)"
150,"(21.623666930616192,)"
151,"(21.378542648791637,)"
152,"(21.118949417872816,)"
153,"(21.330375490494486,)"
154,"(21.53139896193442,)"
155,"(21.82555210016854,)"
156,"(21.907818280821253,)"
157,"(21.726130439689054,)"
158,"(21.61887913999256,)"
159,"(21.458507366524483,)"
160,"(22.007528556862898,)"
161,"(21.83136420217273,)"
162,"(22.36740962170439,)"
163,"(21.97319821057833,)"
164,"(22.359017091968475,)"
165,"(21.729775464692207,)"
166,"(22.554649599040996,)"
167,"(22.38390875932263,)"
168,"(21.136374623783023,)"
169,"(22.419900076766492,)"
170,"(22.412155445903416,)"
171,"(22.94733861748591,)"
172,"(22.8909974026106,)"
173,"(21.803845983936167,)"
174,"(23.05086816496858,)"
175,"(22.754978420833936,)"
