Epoch,AvgPSNR
1,"(13.349975008375468,)"
2,"(13.585945479179495,)"
3,"(13.669013982304278,)"
4,"(13.650344825491924,)"
5,"(13.729636323332022,)"
6,"(13.803193216813327,)"
7,"(13.575426598490257,)"
8,"(13.686020931746961,)"
9,"(13.680067042992345,)"
10,"(13.773318354596878,)"
11,"(13.852276084342822,)"
12,"(13.879418496106968,)"
13,"(13.940429579383261,)"
14,"(14.085706149043311,)"
15,"(14.177511424667602,)"
16,"(14.13315839489412,)"
17,"(14.391969932273645,)"
18,"(14.561778974819475,)"
19,"(14.615935817044377,)"
20,"(14.65343013719648,)"
21,"(14.664758511220953,)"
22,"(14.690059167500186,)"
23,"(14.679943870839967,)"
24,"(14.690966356957825,)"
25,"(14.69620104717498,)"
26,"(14.69346440219359,)"
27,"(14.692290284360272,)"
28,"(14.69796476339213,)"
29,"(14.69453266985077,)"
30,"(14.697096271845833,)"
31,"(14.700354502879991,)"
32,"(14.696785997551999,)"
33,"(14.698757259861724,)"
34,"(14.697543505180507,)"
35,"(14.704982365032562,)"
36,"(14.700601826198836,)"
37,"(14.503142559003148,)"
38,"(13.094513697663066,)"
39,"(13.385611134440078,)"
40,"(13.568114603783632,)"
41,"(13.590887175433162,)"
42,"(13.678522699214083,)"
43,"(13.706046899384601,)"
44,"(13.699625278627463,)"
45,"(13.718444105658925,)"
46,"(13.745021773375814,)"
47,"(13.739626313961285,)"
48,"(13.763434688939933,)"
49,"(13.75774637519508,)"
50,"(13.74399828691918,)"
51,"(13.786692501991434,)"
52,"(13.8165387417085,)"
53,"(13.791999900496752,)"
54,"(13.792262923235361,)"
55,"(13.845868031380908,)"
56,"(13.830594333810248,)"
57,"(13.911506932580751,)"
58,"(13.924301307626603,)"
59,"(13.969164552560292,)"
60,"(13.961188152252914,)"
61,"(14.084841474333654,)"
62,"(14.07868524041456,)"
63,"(14.124675071633268,)"
64,"(14.147787234417706,)"
65,"(14.260167161480098,)"
66,"(14.344435881128257,)"
67,"(14.332693112300012,)"
68,"(14.452185359606355,)"
69,"(14.543655482505313,)"
70,"(14.571627280161247,)"
71,"(14.619596406124918,)"
72,"(14.629506361930206,)"
73,"(14.642524006192847,)"
74,"(14.657969378822747,)"
75,"(14.646329526952481,)"
76,"(14.664026916652897,)"
77,"(14.669284558654672,)"
