Epoch,AvgPSNR
1,"(13.127057445151571,)"
2,"(13.359968191066098,)"
3,"(13.402449061952478,)"
4,"(13.497515558347244,)"
5,"(13.571832381982157,)"
6,"(13.639332094328163,)"
7,"(13.982084238543777,)"
8,"(14.277699173337904,)"
9,"(14.507462282081658,)"
10,"(14.613799928297299,)"
11,"(16.400175510040654,)"
12,"(17.232843420129047,)"
13,"(18.353359618454462,)"
14,"(19.520705195199188,)"
15,"(20.85832313149918,)"
16,"(21.468110562142293,)"
17,"(21.769995014183117,)"
18,"(20.95713545405649,)"
19,"(23.157639573773295,)"
20,"(22.472704672653293,)"
21,"(23.037208621223744,)"
22,"(22.18960702351372,)"
23,"(22.77935202581827,)"
24,"(22.626794207297905,)"
25,"(23.395261226951735,)"
26,"(23.106410603955684,)"
27,"(23.238293499303392,)"
28,"(23.134165427711306,)"
29,"(23.294545621970844,)"
30,"(23.25769772025359,)"
31,"(23.02209964732704,)"
32,"(22.66798854255375,)"
33,"(22.28402469624847,)"
34,"(22.73755491654079,)"
35,"(9.416252666786372,)"
36,"(12.849930351179461,)"
37,"(13.060546045936098,)"
38,"(12.939844706873485,)"
39,"(13.271457927292207,)"
40,"(13.36626717898716,)"
41,"(13.43028088981886,)"
42,"(13.443165532781391,)"
43,"(13.433199885661379,)"
44,"(13.202540391090933,)"
45,"(13.408568538300392,)"
46,"(13.440240656364695,)"
47,"(13.461163866633257,)"
48,"(13.542981923507648,)"
49,"(13.564489431134946,)"
50,"(13.618011660991558,)"
51,"(13.690013069991522,)"
52,"(13.748969377636815,)"
53,"(13.95974301767855,)"
54,"(14.012550240772486,)"
55,"(13.989347965068742,)"
56,"(14.394171013218484,)"
57,"(14.36094902611695,)"
58,"(14.526118845230867,)"
59,"(15.081961199735872,)"
60,"(15.09226828260061,)"
61,"(15.314525474995268,)"
62,"(15.503801506533968,)"
63,"(16.548017707405844,)"
64,"(17.047093994634555,)"
65,"(16.84408402308158,)"
66,"(16.50689986441703,)"
67,"(17.652328745213033,)"
68,"(19.099690825255436,)"
69,"(19.404844901131202,)"
70,"(20.134209254460625,)"
71,"(20.841782983231443,)"
72,"(20.822985092780897,)"
73,"(21.0179291728092,)"
74,"(20.90809414742798,)"
75,"(21.828501905820914,)"
76,"(21.720294481064364,)"
77,"(21.932731554827072,)"
78,"(22.038417536966712,)"
79,"(21.553488057193253,)"
80,"(21.77539639668234,)"
81,"(22.107328802421076,)"
82,"(23.05865575667705,)"
83,"(22.269978807897395,)"
84,"(22.26849939963711,)"
85,"(23.037641554526097,)"
86,"(21.632210306102884,)"
87,"(22.276039283815717,)"
88,"(22.72713794155318,)"
89,"(22.83208738253863,)"
90,"(22.24982889416196,)"
91,"(23.772878556997178,)"
92,"(22.585666702468057,)"
