Epoch,AvgPSNR
93,"(23.045451603474767,)"
94,"(13.128893051629701,)"
95,"(13.474955446100578,)"
96,"(13.667110192260806,)"
97,"(14.134405525262226,)"
98,"(14.85553716065251,)"
99,"(15.166417592045383,)"
100,"(15.953650356017702,)"
101,"(16.450421245466718,)"
102,"(16.50414318532295,)"
103,"(17.040938073820158,)"
104,"(19.47366757504541,)"
105,"(20.538626242216885,)"
106,"(20.765404568467844,)"
107,"(21.288686162891636,)"
108,"(21.322089027127948,)"
109,"(22.00614378366933,)"
110,"(21.980438216862275,)"
111,"(21.997888491467812,)"
112,"(22.05437327378261,)"
113,"(23.53748488409907,)"
114,"(22.927413899596385,)"
115,"(22.332316670591755,)"
116,"(23.19621307675984,)"
117,"(23.72343344124043,)"
118,"(22.543639765196897,)"
119,"(23.041514126793846,)"
120,"(22.7785853319071,)"
121,"(23.607731484753693,)"
122,"(22.985742832682075,)"
123,"(24.24478598955015,)"
124,"(21.8653227340917,)"
125,"(23.584410488901742,)"
126,"(23.471288187773443,)"
127,"(23.10217654814972,)"
128,"(23.67861110711312,)"
129,"(23.384297616283575,)"
130,"(23.366059589809705,)"
131,"(23.262480030010217,)"
132,"(22.843562708284917,)"
133,"(23.799371891314138,)"
134,"(23.470859804740368,)"
135,"(23.740518171516086,)"
136,"(23.46684447531805,)"
137,"(22.458157518608985,)"
138,"(23.546241376800047,)"
139,"(23.798492650802164,)"
140,"(24.238912436497767,)"
141,"(23.349641584218148,)"
142,"(23.021049629119243,)"
143,"(23.64139271769397,)"
144,"(23.96167339413829,)"
145,"(22.972265034615866,)"
146,"(24.249591350636898,)"
147,"(23.883500652390357,)"
148,"(23.432501493955805,)"
149,"(23.31351900871989,)"
150,"(22.742964664674552,)"
151,"(24.047785022363062,)"
152,"(23.7981606305912,)"
153,"(24.0383513910475,)"
154,"(24.175121026253507,)"
155,"(23.785656342212917,)"
156,"(22.91485804510653,)"
157,"(23.29628353544086,)"
158,"(23.810772820455142,)"
159,"(23.690671767761668,)"
160,"(24.120797419557537,)"
161,"(22.826752377900107,)"
162,"(23.680079181626443,)"
163,"(23.579742717050127,)"
164,"(24.545401889602758,)"
165,"(23.742454121175985,)"
166,"(23.266935968273895,)"
167,"(24.03512147925625,)"
168,"(23.36487831771017,)"
169,"(22.87430423112129,)"
170,"(23.86936049797041,)"
171,"(23.770335545011797,)"
172,"(24.00360216589467,)"
173,"(23.477433026622418,)"
174,"(23.90803147363273,)"
175,"(23.742992826206365,)"
176,"(23.64575330332227,)"
177,"(23.768065549181603,)"
178,"(23.09545245317616,)"
179,"(23.498895460525944,)"
180,"(23.516165088893832,)"
181,"(23.24748983217302,)"
182,"(24.06128662087392,)"
183,"(24.022846807987992,)"
184,"(23.196931024444854,)"
185,"(23.782929740983175,)"
186,"(23.7312615909563,)"
187,"(23.834245812289645,)"
188,"(22.945909598940887,)"
189,"(23.373184509232864,)"
190,"(23.08072365545031,)"
191,"(23.456961854858278,)"
192,"(24.34566403565907,)"
193,"(24.43724357668416,)"
194,"(23.568051773219125,)"
195,"(23.631536798515143,)"
196,"(24.198568375001607,)"
197,"(23.995545741845355,)"
198,"(23.3850597835772,)"
199,"(23.171111547295947,)"
200,"(23.47632070217139,)"
