Epoch,AvgPSNR
1,"(12.861071135597525,)"
2,"(13.235180737346244,)"
3,"(13.311407181597914,)"
4,"(13.386752333700988,)"
5,"(13.160734926960012,)"
6,"(13.280232062932754,)"
7,"(13.358642960108114,)"
8,"(13.399748828799792,)"
9,"(13.487623976562721,)"
10,"(13.522480473186631,)"
11,"(13.547179590840898,)"
12,"(13.654312898397011,)"
13,"(13.744520003257545,)"
14,"(13.996512627426842,)"
15,"(13.905751350387511,)"
16,"(14.829824403123624,)"
17,"(13.06237903758508,)"
18,"(13.309333398292917,)"
19,"(13.39432987691288,)"
20,"(13.492644335254237,)"
21,"(13.590795266523125,)"
22,"(13.760582850583786,)"
23,"(13.975774851751328,)"
24,"(14.303847376986631,)"
25,"(14.70499987850475,)"
26,"(15.245229720203874,)"
27,"(15.496569936897018,)"
28,"(15.874705582346314,)"
29,"(16.30318625613102,)"
30,"(17.721594995931927,)"
31,"(18.40788996567123,)"
32,"(18.7670495025878,)"
33,"(19.387079048848353,)"
34,"(19.880643665985847,)"
35,"(19.909131321009145,)"
36,"(20.101985465134625,)"
37,"(20.564167492050437,)"
38,"(20.61538882931002,)"
39,"(21.17264312202882,)"
40,"(21.081864179094033,)"
41,"(21.046276812833153,)"
42,"(21.62418850040799,)"
43,"(21.609635471439542,)"
44,"(21.354426132387374,)"
45,"(21.067410115265577,)"
46,"(21.119691818589697,)"
47,"(21.986554269958997,)"
48,"(22.498017495323868,)"
49,"(22.168650371621087,)"
50,"(21.42686394243062,)"
51,"(9.182525185871535,)"
52,"(12.891835704903293,)"
53,"(13.125307998728491,)"
54,"(13.30427881342883,)"
55,"(13.394316379008718,)"
56,"(13.508338845106195,)"
57,"(13.578485216163337,)"
58,"(13.723915821481008,)"
59,"(14.010932983043022,)"
60,"(14.001662269272652,)"
61,"(14.521717055847853,)"
62,"(15.173133649754305,)"
63,"(14.84318740202055,)"
64,"(15.736331814430814,)"
65,"(16.06937510593708,)"
66,"(17.15549391154881,)"
67,"(17.857501449010336,)"
68,"(18.90291528594512,)"
69,"(19.334421773563196,)"
70,"(19.71290370275032,)"
71,"(20.362891440547287,)"
72,"(20.33523509985759,)"
73,"(20.386978971966077,)"
74,"(21.1739966083702,)"
75,"(20.82638503942225,)"
76,"(20.552727476119152,)"
77,"(22.122651883412736,)"
78,"(21.75177007472908,)"
79,"(21.700314224309057,)"
80,"(22.1476266828229,)"
81,"(21.461929024060403,)"
82,"(22.047794580769306,)"
83,"(22.145893421908806,)"
84,"(22.155504006656138,)"
85,"(22.24333081356949,)"
86,"(22.500897774971378,)"
87,"(22.3894632608823,)"
88,"(22.661495250253594,)"
89,"(22.642199773969732,)"
90,"(22.654763423581237,)"
91,"(22.954844800808814,)"
92,"(22.882114790825593,)"
93,"(23.3567563482817,)"
94,"(22.835140042803552,)"
95,"(23.224769918498964,)"
96,"(22.830951771013407,)"
97,"(23.019921719033164,)"
98,"(22.813123961465458,)"
99,"(21.444580651088035,)"
100,"(12.610570858515059,)"
101,"(13.183538177240429,)"
102,"(13.327905046855626,)"
103,"(13.3946374360834,)"
104,"(13.44195037831044,)"
105,"(13.493871039126674,)"
106,"(13.516062579587445,)"
107,"(13.530819431724892,)"
108,"(13.528388603260751,)"
109,"(13.661340879321312,)"
110,"(13.78002386899385,)"
111,"(13.921418939377082,)"
112,"(14.238362273856914,)"
113,"(14.620759172082042,)"
114,"(15.040244690249683,)"
115,"(14.638640827792019,)"
116,"(15.500550153744156,)"
117,"(15.783439059707442,)"
118,"(16.483298227075906,)"
119,"(16.87242556091216,)"
120,"(17.679108523771642,)"
121,"(18.853195455710768,)"
122,"(19.020794808796655,)"
123,"(19.808728584141296,)"
124,"(20.175588929544833,)"
125,"(20.55405294674517,)"
126,"(20.352203622186206,)"
127,"(20.49222289510636,)"
128,"(20.6692938036417,)"
129,"(20.886651405892017,)"
130,"(21.356224447577194,)"
131,"(21.046364679557303,)"
132,"(21.4660704148456,)"
133,"(21.06785914554035,)"
134,"(20.88054548118649,)"
135,"(21.19382772992944,)"
136,"(21.5979182993849,)"
137,"(21.53005311226149,)"
138,"(21.96887684379319,)"
139,"(21.952937217648845,)"
140,"(22.156898130214877,)"
141,"(21.824364500584128,)"
142,"(22.169988321535804,)"
143,"(21.890407684557868,)"
144,"(22.369112749882124,)"
145,"(22.077972545610155,)"
146,"(22.040375691406144,)"
147,"(21.953350195357874,)"
148,"(22.006701763955515,)"
149,"(22.48501114298216,)"
150,"(21.96447573761618,)"
